date,sku,qty
2025-10-30,SKU-0028,3.0
2025-10-30,SKU-0045,2.0
2025-10-30,SKU-0079,3.0
2025-10-30,SKU-0186,2.0
2025-10-30,SKU-0154,5.0
2025-10-30,SKU-0048,2.0
2025-10-30,SKU-0106,3.0
2025-10-30,SKU-0092,1.0
2025-10-30,SKU-0082,1.0
2025-10-30,SKU-0073,4.0
2025-10-30,SKU-0075,1.0
2025-10-30,SKU-0009,1.0
2025-10-30,SKU-0150,1.0
2025-10-30,SKU-0147,1.0
2025-10-30,SKU-0078,1.0
2025-10-30,SKU-0157,2.0
2025-10-30,SKU-0144,3.0
2025-10-30,SKU-0113,2.0
2025-10-30,SKU-0039,1.0
2025-10-30,SKU-0126,1.0
2025-10-30,SKU-0004,2.0
2025-10-30,SKU-0189,1.0
2025-10-30,SKU-0051,3.0
2025-10-30,SKU-0095,8.0
2025-10-30,SKU-0185,3.0
2025-10-30,SKU-0198,2.0
2025-10-30,SKU-0041,2.0
2025-10-30,SKU-0013,2.0
2025-10-30,SKU-0159,1.0
2025-10-30,SKU-0099,1.0
2025-10-30,SKU-0121,2.0
2025-10-30,SKU-0139,2.0
2025-10-30,SKU-0085,2.0
2025-10-30,SKU-0146,2.0
2025-10-30,SKU-0044,2.0
2025-10-31,SKU-0146,1.0
2025-10-31,SKU-0159,2.0
2025-10-31,SKU-0153,1.0
2025-10-31,SKU-0112,1.0
2025-10-31,SKU-0095,1.0
2025-10-31,SKU-0092,1.0
2025-10-31,SKU-0157,2.0
2025-10-31,SKU-0200,3.0
2025-10-31,SKU-0166,1.0
2025-10-31,SKU-0105,1.0
2025-10-31,SKU-0011,1.0
2025-10-31,SKU-0088,2.0
2025-10-31,SKU-0152,3.0
2025-10-31,SKU-0075,2.0
2025-10-31,SKU-0013,3.0
2025-10-31,SKU-0155,1.0
2025-10-31,SKU-0046,3.0
2025-10-31,SKU-0065,1.0
2025-10-31,SKU-0187,5.0
2025-10-31,SKU-0175,2.0
2025-10-31,SKU-0028,1.0
2025-10-31,SKU-0148,3.0
2025-10-31,SKU-0034,2.0
2025-10-31,SKU-0029,1.0
2025-10-31,SKU-0122,1.0
2025-10-31,SKU-0073,1.0
2025-10-31,SKU-0023,1.0
2025-10-31,SKU-0127,1.0
2025-10-31,SKU-0165,1.0
2025-10-31,SKU-0113,14.0
2025-10-31,SKU-0102,3.0
2025-10-31,SKU-0002,2.0
2025-10-31,SKU-0059,1.0
2025-10-31,SKU-0035,1.0
2025-10-31,SKU-0094,3.0
2025-11-01,SKU-0112,1.0
2025-11-01,SKU-0030,2.0
2025-11-01,SKU-0192,2.0
2025-11-01,SKU-0057,2.0
2025-11-01,SKU-0166,2.0
2025-11-01,SKU-0066,1.0
2025-11-01,SKU-0056,1.0
2025-11-01,SKU-0094,5.0
2025-11-01,SKU-0130,2.0
2025-11-01,SKU-0197,12.0
2025-11-01,SKU-0068,2.0
2025-11-01,SKU-0131,1.0
2025-11-01,SKU-0023,1.0
2025-11-01,SKU-0011,3.0
2025-11-01,SKU-0175,1.0
2025-11-01,SKU-0138,1.0
2025-11-01,SKU-0118,2.0
2025-11-01,SKU-0061,3.0
2025-11-01,SKU-0002,2.0
2025-11-01,SKU-0172,3.0
2025-11-01,SKU-0133,3.0
2025-11-01,SKU-0099,5.0
2025-11-01,SKU-0076,1.0
2025-11-01,SKU-0039,18.0
2025-11-01,SKU-0179,1.0
